id,name,display_name,set_name,number,edition,year,remarks,rarity,artwork,image_url,pricecharting_url,market_price,pokemontcg_id,tcgplayer_product_id,tcgplayer_url
pk-0295,Pikachu ex,Pikachu ex — Surging Sparks 219/191,Surging Sparks,219/191,,2024,,Full Art Secret Rare,Surging Sparks - FA Terastal Pikachu ex 1,https://images.pokemontcg.io/sv8/219_hires.png,https://www.pricecharting.com/game/pokemon-surging-sparks/pikachu-ex-219,29.86,sv8-219,590026,https://www.tcgplayer.com/product/590026
pk-0296,Pikachu ex,Pikachu ex — Surging Sparks 247/191,Surging Sparks,247/191,,2024,,Gold Full Art Secret Rare,Surging Sparks - FA Terastal Pikachu ex 1 Gold,https://images.pokemontcg.io/sv8/247_hires.png,https://www.pricecharting.com/game/pokemon-surging-sparks/pikachu-ex-247,91.23,sv8-247,593169,https://www.tcgplayer.com/product/593169
pk-0297,Pikachu ex,Pikachu ex — Prismatic Evolutions 179/131,Prismatic Evolutions,179/131,,2025,,Full Art Secret Rare,Prismatic Evolutions - FA Pikachu ex Gold,https://images.pokemontcg.io/sv8pt5/179_hires.png,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/pikachu-ex-179,52.42,sv8pt5-179,610534,https://www.tcgplayer.com/product/610534
pk-0298,Pikachu ex,Pikachu ex — Surging Sparks 238/191,Surging Sparks,238/191,,2024,,Full Art Secret Rare,Surging Sparks - FA Terastal Pikachu ex 2,https://images.pokemontcg.io/sv8/238_hires.png,https://www.pricecharting.com/game/pokemon-surging-sparks/pikachu-ex-238,252.06,sv8-238,590027,https://www.tcgplayer.com/product/590027
pk-0299,Pikachu ex,Pikachu ex — Prismatic Evolutions 28/131,Prismatic Evolutions,28/131,,2025,,Ultra Rare,Prismatic Evolutions - Pikachu ex,https://images.pokemontcg.io/sv8pt5/28_hires.png,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/pikachu-ex-28,2.66,sv8pt5-28,610383,https://www.tcgplayer.com/product/610383
pk-0300,Pikachu,Pikachu — Scarlet & Violet Black Star Promos 214,Scarlet & Violet Black Star Promos,214,,2025,,Promo,Promo 214 Illustration Contest 2024 Pikachu,https://storage.googleapis.com/images.pricecharting.com/mmt325jliq4hubs4/1600.jpg,https://www.pricecharting.com/game/pokemon-promo/pikachu-214,20.00,,,
pk-0301,Pikachu,Pikachu — Scarlet & Violet Black Star Promos 225,Scarlet & Violet Black Star Promos,225,,2025,World Championships 2025 stamp,Promo,Promo 225 WC2025 Pikachu,https://storage.googleapis.com/images.pricecharting.com/sa7svb6l63ybxvku/1600.jpg,https://www.pricecharting.com/game/pokemon-promo/pikachu-snowflake-stamp-swsh153,46.98,,,
pk-0302,Pikachu,Pikachu — Scarlet & Violet Black Star Promos 225,Scarlet & Violet Black Star Promos,225,,2025,Pokémon League logo in description & WINNER stamp,Promo,Promo 225 WC2025 Pikachu,https://storage.googleapis.com/images.pricecharting.com/bcn4jacppvoappfi/1600.jpg,https://www.pricecharting.com/game/pokemon-promo/pikachu-world-championships-winner-225,120.00,,,
pk-0303,Pikachu,Pikachu — Ascended Heroes 55/217,Ascended Heroes,55/217,,2026,,Common,Ascended Heroes,https://storage.googleapis.com/images.pricecharting.com/ssiscoi5efe2huz2/1600.jpg,https://www.pricecharting.com/game/pokemon-ascended-heroes/pikachu-energy-55,1.00,me2pt5-55,675867,https://www.tcgplayer.com/product/675867
pk-0304,Pikachu,Pikachu — Ascended Heroes 55/217,Ascended Heroes,55/217,,2026,,Lightning Energy Reverse Holo Common,Ascended Heroes,https://storage.googleapis.com/images.pricecharting.com/ssiscoi5efe2huz2/1600.jpg,https://www.pricecharting.com/game/pokemon-japanese-shiny-treasure-ex/pikachu-reverse-holo-55,5.10,me2pt5-55,675867,https://www.tcgplayer.com/product/675867
